,Park_Name,Death Total,activities,deaths
0,Abraham Lincoln Birthplace National Historical Park,0,"['Astronomy', 'Stargazing', 'Food', 'Picnicking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",0
1,Acadia National Park,17,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Group Camping', 'Climbing', 'Rock Climbing', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Ice Skating', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",1
2,Adams National Historical Park,0,"['Guided Tours', 'Living History', 'First Person Interpretation', 'Park Film', 'Shopping', 'Bookstore and Park Store']",0
3,African American Civil War Memorial,0,"['Guided Tours', 'Self-Guided Tours - Walking']",0
4,African Burial Ground National Monument,0,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
5,Agate Fossil Beds National Monument,0,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",0
6,Ala Kahakai National Historic Trail,0,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Compass and GPS', 'Geocaching', 'Orienteering', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Front-Country Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching']",0
7,Alagnak Wild River,0,"['Boating', 'Camping', 'Backcountry Camping', 'Fishing', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Whitewater Rafting', 'Wildlife Watching', 'Birdwatching']",0
8,Alaska Public Lands,0,[],0
9,Alcatraz Island,0,"['Food', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",0
10,Aleutian Islands World War II National Historic Area,0,"['Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits']",0
