Total Campers,Park Name,Total Visits,Total Tent Campers,Total RV Campers,Total Backcountry Campers
0,Abraham Lincoln Birthplace NHP,238226,0,0,0
199965,Acadia National Park,3437286,140985,57696,1284
0,Adams National Historic Park,187400,0,0,0
0,African Burial Ground National Monument,47427,0,0,0
10192,Amistad NRA,1267900,0,10192,0
0,Antietam NB,287343,0,0,0
7431,Apostle Islands NL,240613,0,0,7431
0,Appomattox Court House NHP,102397,0,0,0
34218,Arches NP,1659702,17523,16290,405
0,Arlington House The R.E. Lee MEM,0,0,0,0
69323,Assateague Island NS,2344536,42649,25125,1549
6913,Badlands NP,970998,3490,930,2493
1123,Theodore Roosevelt NP,2642,0,0,1123
106567,Big Bend NP,463832,54402,28845,23320
18408,Big Cypress NPRES,1007471,2982,11400,4026
0,Big Hole NB,45861,0,0,0
43929,Big South Fork NRRA,750494,6087,29425,8417
1536,Big Thicket NPRES,255926,0,0,1536
89,Bighorn Canyon NRA,249659,11,78,0
238,Biscayne NP,708522,238,0,0
31930,Black Canyon of the Gunnison NP,432818,17796,12273,1861
110386,Blue Ridge PKWY,14976085,66384,42913,1089
0,Bluestone NSR,37663,0,0,0
0,Boston NHP,3201834,0,0,0
55127,Bryce Canyon NP,2594904,30080,23653,1394
67903,Buffalo NR,1326282,37004,10532,20367
2453,Canaveral NS,1884122,0,0,2453
0,Cane River Creole NHP,29922,0,0,0
94615,Canyonlands NP,733996,9135,7785,77695
0,Cape Cod NS,4096104,0,0,0
89641,Cape Hatteras NS,2606632,44236,45405,0
2229,Cape Lookout NS,455526,0,0,2229
53668,Capitol Reef National Park,1226519,25665,23993,4010
225,Carlsbad Caverns NP,440691,0,0,225
5056,Catoctin Mountain Park,296846,3845,580,631
15112,Chaco Culture NHP,47342,8697,6415,0
23411,Channel Islands NP,409630,0,0,23411
0,Chattahoochee River NRA,3393133,0,0,0
7110,Chesapeake & Ohio Canal NHP,5116787,6518,592,0
102284,Chickasaw NRA,1422612,55145,47139,0
0,City of Rocks NRES,99311,0,0,0
0,Colonial NHP,3327268,0,0,0
881,Congaree NP,159445,0,0,881
0,Cowpens NB,223413,0,0,0
7130,Crater Lake NP,704512,4694,0,2436
16477,Cumberland Gap NHP,704598,3299,12630,548
25680,Cumberland Island NS,53904,21185,0,4495
63561,Curecanti NRA,836034,20608,42588,365
0,Cuyahoga Valley NP,2237997,0,0,0
0,Dayton Aviation Heritage NHP,94709,0,0,0
174000,Death Valley NP,1740945,74511,97574,1915
14256,Delaware Water Gap NRA,3374865,0,0,14256
