,Rank,Park_Name,Death Total,Park Visits (2007-2018),Deaths per 10 Million Visits,Unnamed: 0,Park_Code,state,Lat,Long,designation,activities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,1,North Cascades National Park,19,"291,255",652.35,321,noca,WA,48.71171756,-121.2069423,National Park,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Fishing', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Canoe or Kayak Camping', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Rock Climbing,Fishing,Guided Tours,Bus/Shuttle Guided Tour,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Denali National Park & Preserve,59,"5,870,403",100.5,114,dena,AK,63.29777484,-151.05265680000002,National Park & Preserve,"['Arts and Culture', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Mountain Climbing', 'Dog Sledding', 'Flying', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Gathering and Foraging', 'Hunting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Park Film']",Arts and Culture,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Mountain Climbing,Dog Sledding,Flying,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Gathering and Foraging,Hunting,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Wildlife Watching,Park Film,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Upper Delaware Scenic & Recreational River,21,"3,064,806",68.52,429,upde,"NY,PA",41.66172578,-75.03861562,Scenic & Recreational River,"['Boating', 'Fishing', 'Paddling', 'Junior Ranger Program', 'Museum Exhibits']",Boating,Fishing,Paddling,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Big Thicket National Preserve,11,"1,643,769",66.92,38,bith,TX,30.4579834310497,-94.3867421150208,National Preserve,"['Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Hands-On', 'Citizen Science', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Hands-On,Citizen Science,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Little River Canyon National Preserve,17,"3,199,845",53.13,267,liri,AL,34.41461863,-85.61734327,National Preserve,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Mountain Biking', 'Road Biking', 'Climbing', 'Rock Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Picnicking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Biking,Mountain Biking,Road Biking,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Shopping,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,New River Gorge National Park and Preserve,62,"13,860,271",44.73,315,neri,WV,37.86878554,-80.99956002,National Park and Preserve,"['Arts and Culture', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Whitewater Rafting', 'Junior Ranger Program', 'Playground', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Theater,Auto and ATV,Scenic Driving,Astronomy,Biking,Mountain Biking,Road Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Playground,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,
6,7,Virgin Islands National Park,20,"5,007,436",39.94,436,viis,VI,18.34279656,-64.74194451,National Park,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Boating', 'Motorized Boating', 'Sailing', 'Camping', 'Car or Front Country Camping', 'Fishing', 'Fly Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Paddling', 'Kayaking', 'Stand Up Paddleboarding', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Astronomy,Stargazing,Boating,Motorized Boating,Sailing,Camping,Car or Front Country Camping,Fishing,Fly Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Kayaking,Stand Up Paddleboarding,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Mount Rainier National Park,55,"14,583,040",37.72,299,mora,WA,46.86075416,-121.70438850000001,National Park,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'Climbing', 'Mountain Climbing', 'Fishing', 'Freshwater Fishing', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hands-On', 'Citizen Science', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Living History', 'Junior Ranger Program', 'Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Climbing,Mountain Climbing,Fishing,Freshwater Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Auto,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Living History,Junior Ranger Program,Skiing,Snow Play,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,
8,9,Redwood National and State Parks,19,"5,191,506",36.6,364,redw,CA,41.37237268,-124.03181289999999,National and State Parks,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Tubing', 'River Tubing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Kayaking,Junior Ranger Program,Tubing,River Tubing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,Big Bend National Park,16,"4,398,979",36.37,34,bibe,TX,29.29817767,-103.2297897,National Park,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Fishing,Food,Guided Tours,Hiking,Backcountry Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Sequoia & Kings Canyon National Parks,66,"19,869,972",33.22,394,seki,CA,36.71277299,-118.587429,National Parks,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Caving', 'Climbing', 'Rock Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hands-On', 'Citizen Science', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Caving,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,
11,12,Channel Islands National Park,12,"3,805,343",31.53,83,chis,CA,33.98680093,-119.91127350000001,National Park,"['Astronomy', 'Stargazing', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Group Camping', 'Compass and GPS', 'Orienteering', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,Compass and GPS,Orienteering,Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Paddling,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,
12,13,Glen Canyon National Recreation Area,93,"31,147,953",29.86,182,glca,"AZ,UT",36.9357464676887,-111.48559426800699,National Recreation Area,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Jet Skiing', 'Boat Tour', 'Camping', 'Fishing', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Boat Tour', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Swimming', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Jet Skiing,Boat Tour,Camping,Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Auto,Boat Tour,Hands-On,Volunteer Vacation,Hiking,Paddling,Kayaking,Junior Ranger Program,Swimming,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Yosemite National Park,133,"47,477,863",28.01,461,yose,CA,37.84883288,-119.5571873,National Park,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Climbing', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Backcountry Hiking', 'Horse Trekking', 'Horseback Riding', 'Ice Skating', 'Living History', 'Paddling', 'Junior Ranger Program', 'Tubing', 'Snow Tubing', 'Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Auto and ATV,Scenic Driving,Astronomy,Biking,Boating,Camping,Backcountry Camping,Climbing,Fishing,Food,Guided Tours,Hands-On,Hiking,Backcountry Hiking,Horse Trekking,Horseback Riding,Ice Skating,Living History,Paddling,Junior Ranger Program,Tubing,Snow Tubing,Skiing,Snow Play,Snowshoeing,Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,
14,15,Death Valley National Park,34,"12,798,741",26.57,112,deva,"CA,NV",36.48753731,-117.134395,National Park,"['Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Canyoneering', 'Food', 'Flying', 'Golfing', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Astronomy,Stargazing,Biking,Mountain Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Canyoneering,Food,Flying,Golfing,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Living History,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Saint Croix National Scenic Riverway,16,"6,133,431",26.09,377,sacn,"WI,MN",45.70019235,-92.36126685,National Scenic Riverway,"['Boating', 'Motorized Boating', 'Camping', 'Canoe or Kayak Camping', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Hands-On', 'Citizen Science', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Tubing', 'Wildlife Watching', 'Birdwatching', 'Park Film']",Boating,Motorized Boating,Camping,Canoe or Kayak Camping,Fishing,Freshwater Fishing,Fly Fishing,Hands-On,Citizen Science,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Tubing,Wildlife Watching,Birdwatching,Park Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,Canyonlands National Park,16,"6,550,367",24.43,61,cany,UT,38.24555783,-109.8801624,National Park,"['Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'Climbing', 'Rock Climbing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Canoe or Kayak Camping', 'Whitewater Rafting', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Climbing,Rock Climbing,Guided Tours,Boat Tour,Hiking,Horse Trekking,Horseback Riding,Paddling,Canoe or Kayak Camping,Whitewater Rafting,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,Colorado National Monument,12,"5,065,825",23.69,97,colm,CO,39.05045016,-108.6920709,National Monument,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Climbing', 'Rock Climbing', 'Food', 'Picnicking', 'Hiking', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Climbing,Rock Climbing,Food,Picnicking,Hiking,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,Lake Mead National Recreation Area,201,"85,878,810",23.41,256,lake,"AZ,NV",35.96622528,-114.3469067,National Recreation Area,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Jet Skiing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Dining', 'Picnicking', 'Flying', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Freshwater Swimming', 'Water Skiing', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Sailing,Jet Skiing,Boat Tour,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Flying,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,
19,20,Biscayne National Park,14,"6,032,231",23.21,41,bisc,FL,25.490586999999998,-80.21023851,National Park,"['Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Fishing', 'Guided Tours', 'Boat Tour', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Boating,Motorized Boating,Sailing,Boat Tour,Camping,Fishing,Guided Tours,Boat Tour,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,Cape Hatteras National Seashore,57,"24,963,998",22.83,63,caha,NC,35.41370839,-75.65061112,National Seashore,"['Auto and ATV', 'Auto Off-Roading', 'Astronomy', 'Stargazing', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Auto Off-Roading,Astronomy,Stargazing,Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Saltwater Fishing,Food,Picnicking,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Snorkeling,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,
